playlist,track_id,track_name,artist,artist_id,artist_image,album,album_image,popularity,duration_ms,track_name_y,artist_y,album_y,genre,subgenre,danceability,energy,mood,release_year,era,lyrics_theme,instrumentalness,explicit,similaridade
"Top 70, 80 e 90",4YueWSpXjHn8YuW1lUL0U4,Did It All for Love,Phenomena,551BjvPd72WvqLnGCPRgiO,,Dream Runner,https://i.scdn.co/image/ab67616d0000b2733ac90d967a995e2ffe4d1418,0,299133,Did It All for Love,Phenomena,Dream Runner,Hard Rock,Melodic Rock,0.4,0.7000000000000001,Dramatic,1987,1980s,"Love, sacrifice, devotion",0.08,False,0.6146322808416504
Top anos 2000,0M6TRIhQggFpwgaefCfnGH,Hemorrhage (In My Hands),Fuel,0EyuKHE1AeE9lWUF8mzKVp,,Something Like Human,https://i.scdn.co/image/ab67616d0000b2739f6b9ad2c8a013673899ebce,50,236866,Hemorrhage (In My Hands),Fuel,Something Like Human,Post-Grunge,Alternative Rock,0.38,0.65,"Melancholy, emotional, intense",2000,2000s,"Loss, heartbreak, emotional pain, self-sacrifice",0.08,False,0.6108973086899896
Top anos 2000,3UmaczJpikHgJFyBTAJVoz,Stan,Eminem,7dGJo4pcD2V6oG8kP0tJRR,,The Marshall Mathers LP,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,80,404106,Stan,Eminem,The Marshall Mathers LP,Hip Hop,"Horrorcore, Storytelling Rap",0.45,0.68,"Dark, dramatic, tragic",2000,2000s,"Fan obsession, mental health, isolation, tragedy",0.05,True,0.5758987954789065
Top anos 2000,7wzxUErTA9Jw7UdZIeu1bi,Save Me,Hanson,0SdiiPkr02EUdekHZJkt58,,This Time Around,https://i.scdn.co/image/ab67616d0000b27395648a5034c50144d9c8a968,59,222573,Save Me,Hanson,This Time Around,Pop Rock,"Alternative Rock, Power Pop",0.45,0.65,"Emotional, yearning, desperate",2000,2000s,"Seeking help, feeling lost, vulnerability",0.1,False,0.5605529716732303
Top anos 2000,0eKyHwckh9vQb8ncZ2DXCs,With Arms Wide Open,Creed,43sZBwHjahUvgbx1WNIkIz,,Human Clay,https://i.scdn.co/image/ab67616d0000b273f8f048a5f4749c970078a4fb,75,274800,With Arms Wide Open,Creed,Human Clay,Post-Grunge,Alternative Rock,0.35000000000000003,0.55,"Emotional, reflective, hopeful",1999,1990s,"Fatherhood, new life, hope, responsibility",0.08,False,0.5537803057531754
"Top 70, 80 e 90",1Y7VG310Lf5IYP7sVOob4X,It's a Heartache,Bonnie Tyler,0SD4eZCN4Kr0wQk56hCdh2,,Natural Force (Expanded Edition),https://i.scdn.co/image/ab67616d0000b273763dd7f3e5d04ce41c5897a1,68,215160,It's a Heartache,Bonnie Tyler,Natural Force (Expanded Edition),Pop Rock,Country Pop,0.4,0.6000000000000001,Melancholic,1977,1970s,"Heartbreak, unrequited love",0.05,False,0.5499787621964098
Top anos 2010,7GAaTpSoTWUTbP2Yxlt4Hd,Need You Now,Lady A,32WkQRZEVKSzVAAYqukAEA,,Need You Now,https://i.scdn.co/image/ab67616d0000b2735a8b541ca2a563671ff38ddf,74,236440,Need You Now,Lady A,Need You Now,Country,Country Pop,0.30000000000000004,0.5,Melancholic,2009,2000s,"Loneliness, longing for a past lover, reaching out in a moment of weakness",0.08,False,0.5471768131660328
Top anos 2010,49kjlZP49LMD1MrrcvXDET,For the First Time,The Script,3AQRLZ9PuTAozP28Skbq8V,,Science & Faith,https://i.scdn.co/image/ab67616d0000b273ecf57b6803b6f913217bf15c,67,252440,For the First Time,The Script,Science & Faith,Pop,Pop Rock,0.5,0.7000000000000001,Hopeful,2010,2010s,"Economic hardship, relationship struggles, finding hope and connection in love",0.08,False,0.5348305063136554
Top anos 2000,3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,,Parachutes,https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a,90,266773,Yellow,Coldplay,Parachutes,Alternative Rock,"Indie Rock, Piano Rock",0.38,0.55,"Romantic, melancholic, heartfelt",2000,2000s,"Devotion, unconditional love, self-sacrifice",0.08,False,0.5332471732703182
Top 50 Mundo,3mhsDyQpX2L8sJMdWUHOi3,This Is Halloween,The Citizens of Halloween,4LazDzEGshEUn9D2zbm6w2,,The Nightmare Before Christmas (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b273ff2684642c23615f628260ba,68,196560,This Is Halloween,The Citizens of Halloween,The Nightmare Before Christmas (Original Motion Picture Soundtrack),Soundtrack,Musical/Dark Cabaret,0.5,0.7000000000000001,"dramatic, eerie",1993,1990s,"Apresentação da cidade, celebração do Halloween",0.15,False,0.5317522358044273
"Top 70, 80 e 90",1mr9ZUNWfCUClBDhYbCErx,If Looks Could Kill,Heart,34jw2BbxjoYalTp8cJFCPv,,Heart,https://i.scdn.co/image/ab67616d0000b273aac099da610b063763c63117,50,220415,If Looks Could Kill,Heart,Heart,Hard Rock,Arena Rock,0.5,0.8,Intense,1985,1980s,"Intense attraction, dangerous love",0.1,False,0.5273203125341089
"Top 70, 80 e 90",2O3l4X1yTua8oMMCtazkyo,The Happiest Days of Our Lives,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,,The Wall,https://i.scdn.co/image/ab67616d0000b273cbf8b2cd89b54a021db51e75,60,110826,The Happiest Days of Our Lives,Pink Floyd,The Wall,Progressive Rock,Art Rock,0.30000000000000004,0.7000000000000001,Dark,1979,1970s,"Authoritarianism, abuse, alienation",0.4,False,0.5232351108565582
Top anos 2010,2UWdUez9MB9yzL7Y81Mcip,The Suburbs,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,,The Suburbs,https://i.scdn.co/image/ab67616d0000b273532391d63cfd6d32677f7af6,55,315200,The Suburbs,Arcade Fire,The Suburbs,Indie Rock,Art Rock,0.45,0.6000000000000001,nostalgic,2010,2010s,"suburban life, youth, disillusionment, memory",0.05,False,0.503405509349115
"Top 70, 80 e 90",7tydkPAN6EeQxC0gNtGWB2,New Year's Day - Remastered 2008,U2,51Blml2LZPmy7TTiAg47vQ,,War (Deluxe Edition Remastered),https://i.scdn.co/image/ab67616d0000b2732885112d0da4f7ec356c2d61,0,335613,New Year's Day - Remastered 2008,U2,War (Deluxe Edition Remastered),Post-Punk,New Wave,0.5,0.75,hopeful,1983,1980s,"hope, political change, new beginnings",0.2,False,0.4883645857099081
Top anos 2000,7w57O4o0xCTn9YpKuaPZDd,The Great Beyond,R.E.M.,4KWTAlx2RvbpseOGMEmROg,,In Time: The Best Of R.E.M. 1988-2003,https://i.scdn.co/image/ab67616d0000b273519038856cb5329dc27f5916,53,307000,The Great Beyond,R.E.M.,In Time: The Best Of R.E.M. 1988-2003,Alternative Rock,Jangle Pop,0.5,0.7000000000000001,mysterious,1999,1990s,"mystery, existentialism, discovery (soundtrack for Man on the Moon)",0.02,False,0.4873505457457905
"Top 70, 80 e 90",14AI8Qt9giIa8uzek1I24O,Home by the Sea - 2007 Remaster,Genesis,3CkvROUTQ6nRi9yQOcsB50,,Genesis (2007 Remaster),https://i.scdn.co/image/ab67616d0000b273945c366eda66495226e4a46d,63,307800,Home by the Sea - 2007 Remaster,Genesis,Genesis (2007 Remaster),Progressive Rock,Art Rock,0.4,0.6000000000000001,mysterious,1983,1980s,"ghost story, entrapment, afterlife",0.30000000000000004,False,0.4826547912999062
Top 50 Mundo,70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,4Z8W4fKeB5YxbusRsdQVPb,,Pablo Honey,https://i.scdn.co/image/ab67616d0000b273ec548c00d3ac2f10be73366d,91,238640,Creep,Radiohead,Pablo Honey,Alternative Rock,Grunge/Post-Grunge,0.4,0.55,"sad, self-pitying",1992,1990s,"Insegurança, se sentir inadequado, desejo não correspondido",0.0,False,0.4815337392061402
